"age.grp_string","year","sex","cancer.type","suppress","measure","obs"
"0-34",2005,1,"All cancers",0,"Counts",239
"0-34",2005,1,"All cancers",0,"Rates",41.8002833787232
"0-34",2005,1,"Breast (female)",1,"Counts",NA
"0-34",2005,1,"Breast (female)",1,"Rates",NA
"0-34",2005,1,"Colorectal",0,"Counts",19
"0-34",2005,1,"Colorectal",0,"Rates",3.27483467248894
"0-34",2005,1,"Leukaemia",0,"Counts",17
"0-34",2005,1,"Leukaemia",0,"Rates",3.03154395582482
"0-34",2005,1,"Lung",0,"Counts",43
"0-34",2005,1,"Lung",0,"Rates",7.43340880075541
"0-34",2005,1,"Lymphoma",0,"Counts",32
"0-34",2005,1,"Lymphoma",0,"Rates",5.88263916328637
"0-34",2005,1,"Melanoma",0,"Counts",109
"0-34",2005,1,"Melanoma",0,"Rates",19.2179341415447
"0-34",2005,1,"Pancreatic",1,"Counts",NA
"0-34",2005,1,"Pancreatic",1,"Rates",NA
"0-34",2005,1,"Prostate",0,"Counts",22
"0-34",2005,1,"Prostate",0,"Rates",3.85223460298558
"0-34",2005,2,"All cancers",0,"Counts",316
"0-34",2005,2,"All cancers",0,"Rates",56.5650508413742
"0-34",2005,2,"Breast (female)",0,"Counts",33
"0-34",2005,2,"Breast (female)",0,"Rates",5.84550308721059
"0-34",2005,2,"Colorectal",0,"Counts",28
"0-34",2005,2,"Colorectal",0,"Rates",4.75189189220242
"0-34",2005,2,"Leukaemia",0,"Counts",56
"0-34",2005,2,"Leukaemia",0,"Rates",9.76108282756821
"0-34",2005,2,"Lung",0,"Counts",33
"0-34",2005,2,"Lung",0,"Rates",5.6435718704626
"0-34",2005,2,"Lymphoma",0,"Counts",76
"0-34",2005,2,"Lymphoma",0,"Rates",13.6237683811315
"0-34",2005,2,"Melanoma",0,"Counts",137
"0-34",2005,2,"Melanoma",0,"Rates",24.4270905643497
"0-34",2005,2,"Pancreatic",0,"Counts",20
"0-34",2005,2,"Pancreatic",0,"Rates",3.3420654907771
"0-34",2005,2,"Prostate",1,"Counts",NA
"0-34",2005,2,"Prostate",1,"Rates",NA
"0-34",2005,3,"All cancers",0,"Counts",555
"0-34",2005,3,"All cancers",0,"Rates",49.1972157963732
"0-34",2005,3,"Breast (female)",1,"Counts",NA
"0-34",2005,3,"Breast (female)",1,"Rates",NA
"0-34",2005,3,"Colorectal",0,"Counts",47
"0-34",2005,3,"Colorectal",0,"Rates",4.01154601619814
"0-34",2005,3,"Leukaemia",0,"Counts",73
"0-34",2005,3,"Leukaemia",0,"Rates",6.31146706625102
"0-34",2005,3,"Lung",0,"Counts",76
"0-34",2005,3,"Lung",0,"Rates",6.58276939364109
"0-34",2005,3,"Lymphoma",0,"Counts",108
"0-34",2005,3,"Lymphoma",0,"Rates",9.62793472470838
"0-34",2005,3,"Melanoma",0,"Counts",246
"0-34",2005,3,"Melanoma",0,"Rates",21.8508388291708
"0-34",2005,3,"Pancreatic",0,"Counts",20
"0-34",2005,3,"Pancreatic",0,"Rates",1.65330554960531
"0-34",2005,3,"Prostate",1,"Counts",NA
"0-34",2005,3,"Prostate",1,"Rates",NA
"0-34",2006,1,"All cancers",0,"Counts",288
"0-34",2006,1,"All cancers",0,"Rates",49.697675837639
"0-34",2006,1,"Breast (female)",1,"Counts",NA
"0-34",2006,1,"Breast (female)",1,"Rates",NA
"0-34",2006,1,"Colorectal",0,"Counts",16
"0-34",2006,1,"Colorectal",0,"Rates",2.78713881041882
"0-34",2006,1,"Leukaemia",0,"Counts",80
"0-34",2006,1,"Leukaemia",0,"Rates",13.398833472573
"0-34",2006,1,"Lung",0,"Counts",37
"0-34",2006,1,"Lung",0,"Rates",6.05786223010393
"0-34",2006,1,"Lymphoma",0,"Counts",20
"0-34",2006,1,"Lymphoma",0,"Rates",3.35179754697985
"0-34",2006,1,"Melanoma",0,"Counts",104
"0-34",2006,1,"Melanoma",0,"Rates",17.887633410884
"0-34",2006,1,"Pancreatic",0,"Counts",50
"0-34",2006,1,"Pancreatic",0,"Rates",8.7774565647649
"0-34",2006,1,"Prostate",0,"Counts",26
"0-34",2006,1,"Prostate",0,"Rates",4.62646930379965
"0-34",2006,2,"All cancers",0,"Counts",305
"0-34",2006,2,"All cancers",0,"Rates",53.804878995013
"0-34",2006,2,"Breast (female)",0,"Counts",57
"0-34",2006,2,"Breast (female)",0,"Rates",10.0809738283778
"0-34",2006,2,"Colorectal",0,"Counts",80
"0-34",2006,2,"Colorectal",0,"Rates",13.8496470390135
"0-34",2006,2,"Leukaemia",0,"Counts",61
"0-34",2006,2,"Leukaemia",0,"Rates",10.5358166265928
"0-34",2006,2,"Lung",0,"Counts",45
"0-34",2006,2,"Lung",0,"Rates",7.98190996792099
"0-34",2006,2,"Lymphoma",0,"Counts",34
"0-34",2006,2,"Lymphoma",0,"Rates",5.71603776271038
"0-34",2006,2,"Melanoma",0,"Counts",94
"0-34",2006,2,"Melanoma",0,"Rates",16.9082024681958
"0-34",2006,2,"Pancreatic",0,"Counts",14
"0-34",2006,2,"Pancreatic",0,"Rates",2.50834538635453
"0-34",2006,2,"Prostate",1,"Counts",NA
"0-34",2006,2,"Prostate",1,"Rates",NA
"0-34",2006,3,"All cancers",0,"Counts",593
"0-34",2006,3,"All cancers",0,"Rates",51.8173446238766
"0-34",2006,3,"Breast (female)",1,"Counts",NA
"0-34",2006,3,"Breast (female)",1,"Rates",NA
"0-34",2006,3,"Colorectal",0,"Counts",96
"0-34",2006,3,"Colorectal",0,"Rates",8.23470092590702
"0-34",2006,3,"Leukaemia",0,"Counts",141
"0-34",2006,3,"Leukaemia",0,"Rates",12.0191014374431
"0-34",2006,3,"Lung",0,"Counts",82
"0-34",2006,3,"Lung",0,"Rates",7.02979112913501
"0-34",2006,3,"Lymphoma",0,"Counts",54
"0-34",2006,3,"Lymphoma",0,"Rates",4.51633085719267
"0-34",2006,3,"Melanoma",0,"Counts",198
"0-34",2006,3,"Melanoma",0,"Rates",17.3879965285405
"0-34",2006,3,"Pancreatic",0,"Counts",64
"0-34",2006,3,"Pancreatic",0,"Rates",5.67734684591775
"0-34",2006,3,"Prostate",1,"Counts",NA
"0-34",2006,3,"Prostate",1,"Rates",NA
"0-34",2007,1,"All cancers",0,"Counts",223
"0-34",2007,1,"All cancers",0,"Rates",37.6248380300279
"0-34",2007,1,"Breast (female)",1,"Counts",NA
"0-34",2007,1,"Breast (female)",1,"Rates",NA
"0-34",2007,1,"Colorectal",0,"Counts",28
"0-34",2007,1,"Colorectal",0,"Rates",4.57653421799822
"0-34",2007,1,"Leukaemia",0,"Counts",21
"0-34",2007,1,"Leukaemia",0,"Rates",3.37149260407433
"0-34",2007,1,"Lung",0,"Counts",33
"0-34",2007,1,"Lung",0,"Rates",5.65524975660212
"0-34",2007,1,"Lymphoma",0,"Counts",43
"0-34",2007,1,"Lymphoma",0,"Rates",7.27611043628975
"0-34",2007,1,"Melanoma",0,"Counts",101
"0-34",2007,1,"Melanoma",0,"Rates",17.3721030784594
"0-34",2007,1,"Pancreatic",0,"Counts",29
"0-34",2007,1,"Pancreatic",0,"Rates",4.78293850092101
"0-34",2007,1,"Prostate",0,"Counts",10
"0-34",2007,1,"Prostate",0,"Rates",1.62298522708386
"0-34",2007,2,"All cancers",0,"Counts",321
"0-34",2007,2,"All cancers",0,"Rates",56.0739454979603
