"age.grp_string","year","sex","cancer.type","suppress","measure","obs"
"0-34",2005,1,"All cancers",0,"Counts",70
"0-34",2005,1,"All cancers",0,"Rates",12.1422303574884
"0-34",2005,1,"Breast(female)",1,"Counts",NA
"0-34",2005,1,"Breast(female)",1,"Rates",NA
"0-34",2005,1,"Colorectal",0,"Counts",48
"0-34",2005,1,"Colorectal",0,"Rates",8.33153293128478
"0-34",2005,1,"Leukaemia",0,"Counts",38
"0-34",2005,1,"Leukaemia",0,"Rates",6.51602508028096
"0-34",2005,1,"Lung",0,"Counts",30
"0-34",2005,1,"Lung",0,"Rates",5.17392894272698
"0-34",2005,1,"Lymphoma",0,"Counts",54
"0-34",2005,1,"Lymphoma",0,"Rates",9.46226299552987
"0-34",2005,1,"Melanoma",0,"Counts",74
"0-34",2005,1,"Melanoma",0,"Rates",12.9366907870468
"0-34",2005,1,"Pancreatic",0,"Counts",22
"0-34",2005,1,"Pancreatic",0,"Rates",3.64724819617711
"0-34",2005,1,"Prostate",0,"Counts",27
"0-34",2005,1,"Prostate",0,"Rates",4.54056734526082
"0-34",2005,2,"All cancers",0,"Counts",16
"0-34",2005,2,"All cancers",0,"Rates",2.93465910312836
"0-34",2005,2,"Breast(female)",0,"Counts",39
"0-34",2005,2,"Breast(female)",0,"Rates",7.13329118308519
"0-34",2005,2,"Colorectal",0,"Counts",52
"0-34",2005,2,"Colorectal",0,"Rates",9.4630448479069
"0-34",2005,2,"Leukaemia",0,"Counts",37
"0-34",2005,2,"Leukaemia",0,"Rates",6.53067982839326
"0-34",2005,2,"Lung",0,"Counts",23
"0-34",2005,2,"Lung",0,"Rates",4.16287085990212
"0-34",2005,2,"Lymphoma",0,"Counts",52
"0-34",2005,2,"Lymphoma",0,"Rates",9.04648266620651
"0-34",2005,2,"Melanoma",0,"Counts",27
"0-34",2005,2,"Melanoma",0,"Rates",4.76101784745297
"0-34",2005,2,"Pancreatic",0,"Counts",30
"0-34",2005,2,"Pancreatic",0,"Rates",5.35563180956727
"0-34",2005,2,"Prostate",1,"Counts",NA
"0-34",2005,2,"Prostate",1,"Rates",NA
"0-34",2005,3,"All cancers",0,"Counts",86
"0-34",2005,3,"All cancers",0,"Rates",7.60048958153728
"0-34",2005,3,"Breast(female)",1,"Counts",NA
"0-34",2005,3,"Breast(female)",1,"Rates",NA
"0-34",2005,3,"Colorectal",0,"Counts",100
"0-34",2005,3,"Colorectal",0,"Rates",8.85854288844455
"0-34",2005,3,"Leukaemia",0,"Counts",75
"0-34",2005,3,"Leukaemia",0,"Rates",6.55491555024877
"0-34",2005,3,"Lung",0,"Counts",53
"0-34",2005,3,"Lung",0,"Rates",4.67943187478994
"0-34",2005,3,"Lymphoma",0,"Counts",106
"0-34",2005,3,"Lymphoma",0,"Rates",9.2887697373092
"0-34",2005,3,"Melanoma",0,"Counts",101
"0-34",2005,3,"Melanoma",0,"Rates",8.88677800826429
"0-34",2005,3,"Pancreatic",0,"Counts",52
"0-34",2005,3,"Pancreatic",0,"Rates",4.51440751490944
"0-34",2005,3,"Prostate",1,"Counts",NA
"0-34",2005,3,"Prostate",1,"Rates",NA
"0-34",2006,1,"All cancers",0,"Counts",23
"0-34",2006,1,"All cancers",0,"Rates",3.97272325154229
"0-34",2006,1,"Breast(female)",1,"Counts",NA
"0-34",2006,1,"Breast(female)",1,"Rates",NA
"0-34",2006,1,"Colorectal",0,"Counts",37
"0-34",2006,1,"Colorectal",0,"Rates",6.01840123105361
"0-34",2006,1,"Leukaemia",0,"Counts",56
"0-34",2006,1,"Leukaemia",0,"Rates",9.39567812893245
"0-34",2006,1,"Lung",0,"Counts",33
"0-34",2006,1,"Lung",0,"Rates",5.33737783259365
"0-34",2006,1,"Lymphoma",0,"Counts",42
"0-34",2006,1,"Lymphoma",0,"Rates",7.14104810373865
"0-34",2006,1,"Melanoma",0,"Counts",41
"0-34",2006,1,"Melanoma",0,"Rates",7.17483238056033
"0-34",2006,1,"Pancreatic",0,"Counts",23
"0-34",2006,1,"Pancreatic",0,"Rates",4.02343707603177
"0-34",2006,1,"Prostate",0,"Counts",42
"0-34",2006,1,"Prostate",0,"Rates",6.87368409535767
"0-34",2006,2,"All cancers",0,"Counts",78
"0-34",2006,2,"All cancers",0,"Rates",13.9616263401612
"0-34",2006,2,"Breast(female)",0,"Counts",43
"0-34",2006,2,"Breast(female)",0,"Rates",7.39645642412452
"0-34",2006,2,"Colorectal",0,"Counts",11
"0-34",2006,2,"Colorectal",0,"Rates",2.02284747846777
