"year","sex","cancer.type","measure","obs"
"2018-2022",1,"All cancers","Counts",3988.6
"2018-2022",1,"All cancers","Rates",226.932312852897
"2018-2022",1,"Breast(female)","Counts",0
"2018-2022",1,"Breast(female)","Rates",0
"2018-2022",1,"Colorectal","Counts",442.4
"2018-2022",1,"Colorectal","Rates",25.8264283979439
"2018-2022",1,"Leukaemia","Counts",190.8
"2018-2022",1,"Leukaemia","Rates",11.3424302168111
"2018-2022",1,"Lung","Counts",819.6
"2018-2022",1,"Lung","Rates",46.0163021602819
"2018-2022",1,"Lymphoma","Counts",175.6
"2018-2022",1,"Lymphoma","Rates",10.6379405673183
"2018-2022",1,"Melanoma","Counts",218.6
"2018-2022",1,"Melanoma","Rates",13.241877343899
"2018-2022",1,"Pancreatic","Counts",269.2
"2018-2022",1,"Pancreatic","Rates",15.4076384568747
"2018-2022",1,"Prostate","Counts",564.2
"2018-2022",1,"Prostate","Rates",33.5903113677375
"2018-2022",2,"All cancers","Counts",2977.2
"2018-2022",2,"All cancers","Rates",148.237605693453
"2018-2022",2,"Breast(female)","Counts",428.8
"2018-2022",2,"Breast(female)","Rates",22.1813181660799
"2018-2022",2,"Colorectal","Counts",378.2
"2018-2022",2,"Colorectal","Rates",19.2270948975126
"2018-2022",2,"Leukaemia","Counts",129.8
"2018-2022",2,"Leukaemia","Rates",6.85418573387899
"2018-2022",2,"Lung","Counts",628.6
"2018-2022",2,"Lung","Rates",31.9747062047013
"2018-2022",2,"Lymphoma","Counts",151.8
"2018-2022",2,"Lymphoma","Rates",8.27496698729668
"2018-2022",2,"Melanoma","Counts",150.2
"2018-2022",2,"Melanoma","Rates",8.57062928936477
"2018-2022",2,"Pancreatic","Counts",272.6
"2018-2022",2,"Pancreatic","Rates",14.597665332607
"2018-2022",2,"Prostate","Counts",0
"2018-2022",2,"Prostate","Rates",0
"2018-2022",3,"All cancers","Counts",6965.8
"2018-2022",3,"All cancers","Rates",184.158947237154
"2018-2022",3,"Breast(female)","Counts",0
"2018-2022",3,"Breast(female)","Rates",0
"2018-2022",3,"Colorectal","Counts",820.6
"2018-2022",3,"Colorectal","Rates",22.2818590029907
"2018-2022",3,"Leukaemia","Counts",320.6
"2018-2022",3,"Leukaemia","Rates",8.91937242550957
"2018-2022",3,"Lung","Counts",1448.2
"2018-2022",3,"Lung","Rates",38.4512384953128
"2018-2022",3,"Lymphoma","Counts",327.4
"2018-2022",3,"Lymphoma","Rates",9.4096518083187
"2018-2022",3,"Melanoma","Counts",368.8
"2018-2022",3,"Melanoma","Rates",10.6467463349743
"2018-2022",3,"Pancreatic","Counts",541.8
"2018-2022",3,"Pancreatic","Rates",14.9776424883877
"2018-2022",3,"Prostate","Counts",0
"2018-2022",3,"Prostate","Rates",0
