"year","sex","ragegrp","count","Cancer.Type"
1994,"Male",7,170,"Oesophageal cancer"
1998,"Female",9,221,"Oesophageal cancer"
2006,"Female",10,304,"Oesophageal cancer"
2001,"Male",10,247,"Oesophageal cancer"
1999,"Male",18,223,"Oesophageal cancer"
2022,"Female",16,465,"Oesophageal cancer"
2002,"Male",9,251,"Oesophageal cancer"
1999,"Female",13,220,"Oesophageal cancer"
2002,"Male",8,264,"Oesophageal cancer"
2011,"Male",15,350,"Oesophageal cancer"
1986,"Female",13,92,"Oesophageal cancer"
1997,"Female",9,212,"Oesophageal cancer"
2001,"Female",16,239,"Oesophageal cancer"
1982,"Female",16,53,"Oesophageal cancer"
1983,"Male",18,66,"Oesophageal cancer"
2005,"Male",8,275,"Oesophageal cancer"
1984,"Female",12,74,"Oesophageal cancer"
1989,"Male",13,120,"Oesophageal cancer"
1993,"Female",16,169,"Oesophageal cancer"
2006,"Male",7,285,"Oesophageal cancer"
2002,"Male",11,262,"Oesophageal cancer"
2005,"Female",15,295,"Oesophageal cancer"
1987,"Female",18,109,"Oesophageal cancer"
1989,"Male",12,117,"Oesophageal cancer"
1998,"Male",18,214,"Oesophageal cancer"
2006,"Male",8,301,"Oesophageal cancer"
1988,"Female",15,116,"Oesophageal cancer"
2005,"Female",13,283,"Oesophageal cancer"
2009,"Male",16,315,"Oesophageal cancer"
1993,"Female",17,170,"Oesophageal cancer"
2005,"Female",11,295,"Oesophageal cancer"
1983,"Female",13,60,"Oesophageal cancer"
2011,"Male",16,348,"Oesophageal cancer"
1995,"Male",18,178,"Oesophageal cancer"
2013,"Male",14,372,"Oesophageal cancer"
2002,"Female",13,249,"Oesophageal cancer"
1982,"Female",11,58,"Oesophageal cancer"
1987,"Male",13,96,"Oesophageal cancer"
2011,"Male",14,342,"Oesophageal cancer"
1993,"Female",15,156,"Oesophageal cancer"
2000,"Female",12,236,"Oesophageal cancer"
1987,"Male",14,114,"Oesophageal cancer"
2014,"Male",17,376,"Oesophageal cancer"
1988,"Female",16,111,"Oesophageal cancer"
2008,"Male",13,311,"Oesophageal cancer"
2004,"Female",9,274,"Oesophageal cancer"
2001,"Female",11,235,"Oesophageal cancer"
1996,"Female",15,193,"Oesophageal cancer"
1986,"Female",12,91,"Oesophageal cancer"
1998,"Female",15,212,"Oesophageal cancer"
1988,"Female",14,112,"Oesophageal cancer"
1997,"Female",10,208,"Oesophageal cancer"
1988,"Male",15,109,"Oesophageal cancer"
1995,"Male",13,187,"Oesophageal cancer"
2001,"Female",13,246,"Oesophageal cancer"
2009,"Male",12,326,"Oesophageal cancer"
1987,"Male",15,98,"Oesophageal cancer"
1983,"Male",9,74,"Oesophageal cancer"
2002,"Male",14,249,"Oesophageal cancer"
1995,"Female",12,195,"Oesophageal cancer"
1982,"Female",18,56,"Oesophageal cancer"
