"year","sex","ragegrp","count","Cancer.Type"
1995,"Male",11,178,"Oesophageal cancer"
2007,"Female",15,305,"Oesophageal cancer"
2008,"Male",13,305,"Oesophageal cancer"
1999,"Male",15,218,"Oesophageal cancer"
2012,"Male",14,349,"Oesophageal cancer"
1992,"Female",15,158,"Oesophageal cancer"
2013,"Male",11,363,"Oesophageal cancer"
1991,"Female",10,142,"Oesophageal cancer"
2008,"Male",16,325,"Oesophageal cancer"
1992,"Female",17,147,"Oesophageal cancer"
1995,"Female",16,177,"Oesophageal cancer"
1995,"Male",12,176,"Oesophageal cancer"
1984,"Male",18,72,"Oesophageal cancer"
2007,"Female",14,311,"Oesophageal cancer"
1999,"Male",9,224,"Oesophageal cancer"
2013,"Female",13,367,"Oesophageal cancer"
2002,"Male",10,256,"Oesophageal cancer"
2014,"Female",14,368,"Oesophageal cancer"
1985,"Male",15,91,"Oesophageal cancer"
1982,"Female",14,48,"Oesophageal cancer"
1999,"Male",13,230,"Oesophageal cancer"
2014,"Female",15,367,"Oesophageal cancer"
2013,"Male",9,368,"Oesophageal cancer"
2013,"Male",16,357,"Oesophageal cancer"
1985,"Female",12,75,"Oesophageal cancer"
1992,"Female",18,160,"Oesophageal cancer"
1986,"Female",12,96,"Oesophageal cancer"
1983,"Female",14,69,"Oesophageal cancer"
1999,"Female",16,224,"Oesophageal cancer"
1988,"Male",14,124,"Oesophageal cancer"
1989,"Male",13,115,"Oesophageal cancer"
2007,"Female",12,298,"Oesophageal cancer"
1998,"Male",15,224,"Oesophageal cancer"
1992,"Female",16,148,"Oesophageal cancer"
1991,"Male",12,140,"Oesophageal cancer"
2008,"Male",14,305,"Oesophageal cancer"
2007,"Female",13,311,"Oesophageal cancer"
2004,"Female",13,282,"Oesophageal cancer"
2000,"Male",10,225,"Oesophageal cancer"
2013,"Male",10,369,"Oesophageal cancer"
2008,"Male",12,317,"Oesophageal cancer"
1988,"Male",17,112,"Oesophageal cancer"
1983,"Female",10,58,"Oesophageal cancer"
1989,"Male",16,127,"Oesophageal cancer"
2001,"Female",10,254,"Oesophageal cancer"
2008,"Male",10,318,"Oesophageal cancer"
1990,"Female",17,134,"Oesophageal cancer"
1987,"Male",9,114,"Oesophageal cancer"
1989,"Male",18,122,"Oesophageal cancer"
1999,"Male",11,226,"Oesophageal cancer"
1989,"Female",16,126,"Oesophageal cancer"
2001,"Female",15,235,"Oesophageal cancer"
2008,"Male",15,318,"Oesophageal cancer"
1994,"Male",9,165,"Oesophageal cancer"
1993,"Female",13,168,"Oesophageal cancer"
2001,"Female",16,255,"Oesophageal cancer"
2007,"Female",11,310,"Oesophageal cancer"
1995,"Male",10,194,"Oesophageal cancer"
2000,"Female",10,243,"Oesophageal cancer"
1990,"Female",9,132,"Oesophageal cancer"
2011,"Male",13,337,"Oesophageal cancer"
1999,"Male",14,226,"Oesophageal cancer"
1988,"Male",12,119,"Oesophageal cancer"
1993,"Female",12,172,"Oesophageal cancer"
1999,"Female",15,217,"Oesophageal cancer"
1994,"Female",10,179,"Oesophageal cancer"
2014,"Female",13,373,"Oesophageal cancer"
2003,"Male",16,271,"Oesophageal cancer"
1991,"Male",10,137,"Oesophageal cancer"
1999,"Male",16,233,"Oesophageal cancer"
1985,"Male",17,83,"Oesophageal cancer"
2003,"Male",17,273,"Oesophageal cancer"
1986,"Female",13,105,"Oesophageal cancer"
1986,"Female",17,97,"Oesophageal cancer"
2013,"Male",12,367,"Oesophageal cancer"
1989,"Female",15,124,"Oesophageal cancer"
2006,"Male",8,295,"Oesophageal cancer"
1999,"Male",18,221,"Oesophageal cancer"
1986,"Female",15,93,"Oesophageal cancer"
1988,"Male",13,124,"Oesophageal cancer"
2004,"Female",17,278,"Oesophageal cancer"
1982,"Female",8,57,"Oesophageal cancer"
1989,"Female",17,129,"Oesophageal cancer"
2014,"Male",11,371,"Oesophageal cancer"
1994,"Male",10,180,"Oesophageal cancer"
1999,"Male",17,229,"Oesophageal cancer"
1989,"Male",17,117,"Oesophageal cancer"
2008,"Male",17,325,"Oesophageal cancer"
2011,"Male",10,346,"Oesophageal cancer"
2003,"Female",11,272,"Oesophageal cancer"
1999,"Female",11,223,"Oesophageal cancer"
1994,"Male",11,178,"Oesophageal cancer"
2000,"Female",15,232,"Oesophageal cancer"
1999,"Male",12,231,"Oesophageal cancer"
2007,"Female",10,311,"Oesophageal cancer"
1994,"Male",12,175,"Oesophageal cancer"
2011,"Male",12,351,"Oesophageal cancer"
1998,"Male",14,210,"Oesophageal cancer"
1988,"Female",9,121,"Oesophageal cancer"
1994,"Male",13,175,"Oesophageal cancer"
1982,"Female",15,61,"Oesophageal cancer"
1991,"Male",18,136,"Oesophageal cancer"
1999,"Female",14,229,"Oesophageal cancer"
1994,"Male",14,177,"Oesophageal cancer"
1991,"Male",9,144,"Oesophageal cancer"
2011,"Male",11,351,"Oesophageal cancer"
2001,"Male",9,255,"Oesophageal cancer"
2014,"Male",17,373,"Oesophageal cancer"
1987,"Male",14,112,"Oesophageal cancer"
1988,"Female",13,125,"Oesophageal cancer"
1997,"Male",8,199,"Oesophageal cancer"
2014,"Male",18,366,"Oesophageal cancer"
1987,"Male",15,106,"Oesophageal cancer"
1999,"Female",17,227,"Oesophageal cancer"
1988,"Male",15,124,"Oesophageal cancer"
2011,"Female",16,351,"Oesophageal cancer"
1995,"Male",15,188,"Oesophageal cancer"
2007,"Female",16,300,"Oesophageal cancer"
1998,"Male",16,222,"Oesophageal cancer"
2013,"Male",13,373,"Oesophageal cancer"
1987,"Male",18,112,"Oesophageal cancer"
2007,"Female",17,313,"Oesophageal cancer"
2015,"Female",17,387,"Oesophageal cancer"
2013,"Male",14,375,"Oesophageal cancer"
2011,"Male",9,342,"Oesophageal cancer"
1988,"Male",18,119,"Oesophageal cancer"
1999,"Female",9,216,"Oesophageal cancer"
2014,"Male",12,385,"Oesophageal cancer"
1985,"Female",11,83,"Oesophageal cancer"
2002,"Female",13,261,"Oesophageal cancer"
2014,"Female",12,372,"Oesophageal cancer"
2000,"Male",9,231,"Oesophageal cancer"
2011,"Female",10,339,"Oesophageal cancer"
1984,"Male",13,82,"Oesophageal cancer"
1991,"Female",16,150,"Oesophageal cancer"
2016,"Male",8,385,"Oesophageal cancer"
1985,"Female",13,76,"Oesophageal cancer"
2012,"Male",10,347,"Oesophageal cancer"
1991,"Female",17,147,"Oesophageal cancer"
2000,"Male",11,236,"Oesophageal cancer"
1987,"Female",11,101,"Oesophageal cancer"
2012,"Male",11,346,"Oesophageal cancer"
1991,"Female",18,138,"Oesophageal cancer"
2000,"Male",12,233,"Oesophageal cancer"
2002,"Male",17,248,"Oesophageal cancer"
2012,"Male",12,361,"Oesophageal cancer"
2014,"Female",16,384,"Oesophageal cancer"
2000,"Male",13,225,"Oesophageal cancer"
1983,"Male",16,75,"Oesophageal cancer"
2012,"Male",13,359,"Oesophageal cancer"
2014,"Female",17,382,"Oesophageal cancer"
1994,"Female",15,183,"Oesophageal cancer"
1983,"Male",17,59,"Oesophageal cancer"
1992,"Male",9,163,"Oesophageal cancer"
1992,"Male",10,163,"Oesophageal cancer"
1994,"Female",16,176,"Oesophageal cancer"
2001,"Female",11,255,"Oesophageal cancer"
2012,"Male",15,359,"Oesophageal cancer"
1988,"Male",16,108,"Oesophageal cancer"
1994,"Female",17,167,"Oesophageal cancer"
2001,"Female",12,235,"Oesophageal cancer"
2012,"Male",16,355,"Oesophageal cancer"
1992,"Male",12,147,"Oesophageal cancer"
1990,"Female",15,140,"Oesophageal cancer"
2003,"Male",10,255,"Oesophageal cancer"
2012,"Male",17,355,"Oesophageal cancer"
2007,"Female",18,301,"Oesophageal cancer"
2015,"Male",9,383,"Oesophageal cancer"
2001,"Female",14,242,"Oesophageal cancer"
2012,"Male",18,359,"Oesophageal cancer"
1995,"Male",7,192,"Oesophageal cancer"
2015,"Male",10,394,"Oesophageal cancer"
1986,"Female",11,103,"Oesophageal cancer"
2012,"Male",9,349,"Oesophageal cancer"
1990,"Female",18,128,"Oesophageal cancer"
2015,"Male",11,382,"Oesophageal cancer"
2003,"Male",13,260,"Oesophageal cancer"
2000,"Female",9,226,"Oesophageal cancer"
2012,"Female",8,346,"Oesophageal cancer"
1985,"Male",14,88,"Oesophageal cancer"
2012,"Female",9,350,"Oesophageal cancer"
2004,"Female",11,280,"Oesophageal cancer"
1988,"Male",11,125,"Oesophageal cancer"
1989,"Female",11,116,"Oesophageal cancer"
1986,"Female",14,88,"Oesophageal cancer"
2011,"Male",14,350,"Oesophageal cancer"
1992,"Male",18,149,"Oesophageal cancer"
2015,"Male",14,389,"Oesophageal cancer"
2016,"Female",10,389,"Oesophageal cancer"
1995,"Male",13,181,"Oesophageal cancer"
2004,"Female",14,279,"Oesophageal cancer"
2015,"Male",15,388,"Oesophageal cancer"
2016,"Female",11,392,"Oesophageal cancer"
1991,"Male",11,153,"Oesophageal cancer"
2012,"Female",13,352,"Oesophageal cancer"
2015,"Male",16,380,"Oesophageal cancer"
2003,"Male",18,263,"Oesophageal cancer"
2000,"Female",14,234,"Oesophageal cancer"
1986,"Female",18,100,"Oesophageal cancer"
2015,"Male",17,380,"Oesophageal cancer"
2006,"Male",12,300,"Oesophageal cancer"
1991,"Male",13,155,"Oesophageal cancer"
2012,"Female",15,360,"Oesophageal cancer"
2015,"Male",18,380,"Oesophageal cancer"
2016,"Female",14,393,"Oesophageal cancer"
2004,"Female",18,272,"Oesophageal cancer"
1990,"Female",16,130,"Oesophageal cancer"
1992,"Female",11,159,"Oesophageal cancer"
2016,"Female",15,402,"Oesophageal cancer"
2011,"Female",9,349,"Oesophageal cancer"
1984,"Male",12,65,"Oesophageal cancer"
1996,"Female",15,202,"Oesophageal cancer"
2015,"Female",9,390,"Oesophageal cancer"
2000,"Female",7,231,"Oesophageal cancer"
1982,"Female",13,57,"Oesophageal cancer"
2005,"Male",8,278,"Oesophageal cancer"
1999,"Female",12,234,"Oesophageal cancer"
1988,"Female",8,108,"Oesophageal cancer"
1991,"Male",17,146,"Oesophageal cancer"
1999,"Female",13,234,"Oesophageal cancer"
2011,"Female",12,355,"Oesophageal cancer"
2002,"Male",16,258,"Oesophageal cancer"
1984,"Male",15,76,"Oesophageal cancer"
1996,"Female",18,185,"Oesophageal cancer"
2011,"Female",13,353,"Oesophageal cancer"
2005,"Male",11,283,"Oesophageal cancer"
1988,"Female",11,111,"Oesophageal cancer"
2015,"Female",13,381,"Oesophageal cancer"
2011,"Female",14,346,"Oesophageal cancer"
2005,"Male",12,281,"Oesophageal cancer"
1998,"Male",17,207,"Oesophageal cancer"
2015,"Female",14,390,"Oesophageal cancer"
2011,"Female",15,342,"Oesophageal cancer"
2005,"Male",13,292,"Oesophageal cancer"
1988,"Female",14,115,"Oesophageal cancer"
2015,"Female",15,380,"Oesophageal cancer"
2001,"Male",11,244,"Oesophageal cancer"
2005,"Male",14,282,"Oesophageal cancer"
1988,"Female",15,124,"Oesophageal cancer"
2011,"Female",17,336,"Oesophageal cancer"
1991,"Female",12,141,"Oesophageal cancer"
