"year","sex","agegrp","pop"
2001,"Male",1,125206
2001,"Male",2,133309
2001,"Male",3,132232
2001,"Male",4,131573
2001,"Male",5,122089
2001,"Male",6,127916
2001,"Male",7,130434
2001,"Male",8,132570
2001,"Male",9,133621
2001,"Male",10,124339
2001,"Male",11,122105
2001,"Male",12,97073
2001,"Male",13,76705
2001,"Male",14,59937
2001,"Male",15,52536
2001,"Male",16,39305
2001,"Male",17,22671
2001,"Male",18,14164
2001,"Female",1,118588
2001,"Female",2,125989
2001,"Female",3,125259
2001,"Female",4,126249
2001,"Female",5,120859
2001,"Female",6,130102
2001,"Female",7,134283
2001,"Female",8,137774
2001,"Female",9,136829
2001,"Female",10,125386
2001,"Female",11,119918
2001,"Female",12,92258
2001,"Female",13,72998
2001,"Female",14,59259
2001,"Female",15,56250
2001,"Female",16,48215
2001,"Female",17,33773
2001,"Female",18,29695
2002,"Male",1,126541
2002,"Male",2,134371
2002,"Male",3,135102
2002,"Male",4,133060
2002,"Male",5,126916
2002,"Male",6,126939
2002,"Male",7,135423
2002,"Male",8,133151
2002,"Male",9,138178
2002,"Male",10,126845
2002,"Male",11,122949
2002,"Male",12,105260
2002,"Male",13,80501
2002,"Male",14,62600
2002,"Male",15,53409
2002,"Male",16,40532
2002,"Male",17,24268
2002,"Male",18,14839
2002,"Female",1,119693
2002,"Female",2,126880
2002,"Female",3,128811
2002,"Female",4,127988
2002,"Female",5,123217
2002,"Female",6,127265
2002,"Female",7,138555
2002,"Female",8,137535
2002,"Female",9,141472
2002,"Female",10,128528
2002,"Female",11,121111
2002,"Female",12,100889
2002,"Female",13,76669
2002,"Female",14,61741
2002,"Female",15,56559
2002,"Female",16,48836
2002,"Female",17,35552
2002,"Female",18,30938
2003,"Male",1,128055
2003,"Male",2,135031
2003,"Male",3,138977
2003,"Male",4,133890
2003,"Male",5,132030
2003,"Male",6,126778
2003,"Male",7,139819
2003,"Male",8,134014
2003,"Male",9,141635
2003,"Male",10,130345
2003,"Male",11,124477
2003,"Male",12,113163
2003,"Male",13,83964
2003,"Male",14,65708
2003,"Male",15,54006
2003,"Male",16,41851
2003,"Male",17,25678
2003,"Male",18,15590
2003,"Female",1,121081
2003,"Female",2,128161
2003,"Female",3,132053
2003,"Female",4,129177
2003,"Female",5,128227
2003,"Female",6,126966
2003,"Female",7,142964
2003,"Female",8,137812
2003,"Female",9,145615
2003,"Female",10,132795
2003,"Female",11,123770
2003,"Female",12,108803
2003,"Female",13,80694
2003,"Female",14,64246
2003,"Female",15,56541
2003,"Female",16,49849
2003,"Female",17,37203
2003,"Female",18,32153
2004,"Male",1,129606
2004,"Male",2,135554
2004,"Male",3,142271
2004,"Male",4,135595
2004,"Male",5,137535
2004,"Male",6,127608
2004,"Male",7,142691
2004,"Male",8,136090
2004,"Male",9,144475
2004,"Male",10,134533
2004,"Male",11,126354
2004,"Male",12,118357
2004,"Male",13,88734
2004,"Male",14,68902
2004,"Male",15,54500
2004,"Male",16,43184
2004,"Male",17,27015
2004,"Male",18,16217
2004,"Female",1,123080
2004,"Female",2,129161
2004,"Female",3,134782
2004,"Female",4,130761
2004,"Female",5,132575
2004,"Female",6,127215
2004,"Female",7,145138
2004,"Female",8,139477
2004,"Female",9,148489
2004,"Female",10,136964
2004,"Female",11,126274
2004,"Female",12,114621
2004,"Female",13,85443
2004,"Female",14,67636
2004,"Female",15,56515
2004,"Female",16,50784
2004,"Female",17,38538
2004,"Female",18,33296
2005,"Male",1,132438
2005,"Male",2,136688
2005,"Male",3,144620
2005,"Male",4,138393
2005,"Male",5,142008
2005,"Male",6,130162
2005,"Male",7,143922
2005,"Male",8,139876
2005,"Male",9,145969
2005,"Male",10,138223
2005,"Male",11,128577
2005,"Male",12,122255
2005,"Male",13,93961
2005,"Male",14,72337
2005,"Male",15,54986
2005,"Male",16,44055
2005,"Male",17,28153
2005,"Male",18,17570
2005,"Female",1,125499
2005,"Female",2,130002
2005,"Female",3,137206
2005,"Female",4,132693
2005,"Female",5,137522
2005,"Female",6,128840
2005,"Female",7,145850
2005,"Female",8,142663
2005,"Female",9,150211
2005,"Female",10,141013
2005,"Female",11,128763
2005,"Female",12,119396
2005,"Female",13,90918
2005,"Female",14,70664
2005,"Female",15,57015
2005,"Female",16,51154
2005,"Female",17,39809
2005,"Female",18,35083
2006,"Male",1,135122
2006,"Male",2,138543
2006,"Male",3,145936
2006,"Male",4,141547
2006,"Male",5,145835
2006,"Male",6,134874
2006,"Male",7,143274
2006,"Male",8,145953
2006,"Male",9,146161
2006,"Male",10,142102
2006,"Male",11,131313
2006,"Male",12,125765
2006,"Male",13,98972
2006,"Male",14,74979
2006,"Male",15,56271
2006,"Male",16,44975
2006,"Male",17,29326
2006,"Male",18,18910
2006,"Female",1,127902
2006,"Female",2,131936
2006,"Female",3,138440
2006,"Female",4,135106
2006,"Female",5,142096
