"Year","Sex","AgeGroup","Cancer","Diagnoses"
2005,1,2,"Colorectal",13
2005,1,4,"Colorectal",6
2005,1,8,"Colorectal",22
2005,1,9,"Colorectal",8
2005,1,10,"Colorectal",50
2005,1,11,"Colorectal",38
2005,1,12,"Colorectal",84
2005,1,13,"Colorectal",135
2005,1,14,"Colorectal",142
2005,1,15,"Colorectal",141
2005,1,16,"Colorectal",137
2005,1,17,"Colorectal",104
2005,1,18,"Colorectal",45
2005,2,3,"Colorectal",9
2005,2,4,"Colorectal",4
2005,2,5,"Colorectal",15
2005,2,8,"Colorectal",31
2005,2,10,"Colorectal",8
2005,2,11,"Colorectal",58
2005,2,12,"Colorectal",56
2005,2,13,"Colorectal",59
2005,2,14,"Colorectal",88
2005,2,15,"Colorectal",98
2005,2,16,"Colorectal",148
2005,2,17,"Colorectal",122
2005,2,18,"Colorectal",96
2006,1,3,"Colorectal",1
2006,1,4,"Colorectal",2
2006,1,5,"Colorectal",2
2006,1,7,"Colorectal",11
2006,1,10,"Colorectal",17
2006,1,11,"Colorectal",77
2006,1,12,"Colorectal",96
2006,1,13,"Colorectal",114
2006,1,14,"Colorectal",152
2006,1,15,"Colorectal",178
2006,1,16,"Colorectal",132
2006,1,17,"Colorectal",71
2006,1,18,"Colorectal",58
2006,2,2,"Colorectal",18
2006,2,4,"Colorectal",16
2006,2,5,"Colorectal",23
2006,2,6,"Colorectal",4
2006,2,7,"Colorectal",19
2006,2,8,"Colorectal",5
2006,2,10,"Colorectal",52
2006,2,11,"Colorectal",62
2006,2,12,"Colorectal",58
2006,2,13,"Colorectal",84
2006,2,14,"Colorectal",123
2006,2,15,"Colorectal",112
2006,2,16,"Colorectal",125
2006,2,17,"Colorectal",111
2006,2,18,"Colorectal",89
2007,1,5,"Colorectal",14
2007,1,6,"Colorectal",12
2007,1,7,"Colorectal",2
2007,1,8,"Colorectal",1
2007,1,9,"Colorectal",27
2007,1,10,"Colorectal",43
2007,1,11,"Colorectal",66
2007,1,12,"Colorectal",112
2007,1,13,"Colorectal",154
2007,1,14,"Colorectal",177
2007,1,15,"Colorectal",144
2007,1,16,"Colorectal",155
2007,1,17,"Colorectal",100
2007,1,18,"Colorectal",83
2007,2,2,"Colorectal",19
2007,2,3,"Colorectal",11
2007,2,4,"Colorectal",14
2007,2,5,"Colorectal",20
2007,2,7,"Colorectal",13
2007,2,8,"Colorectal",1
2007,2,9,"Colorectal",32
2007,2,10,"Colorectal",43
2007,2,11,"Colorectal",69
2007,2,12,"Colorectal",85
2007,2,13,"Colorectal",100
2007,2,14,"Colorectal",123
2007,2,15,"Colorectal",122
2007,2,16,"Colorectal",124
2007,2,17,"Colorectal",129
2007,2,18,"Colorectal",96
2008,1,3,"Colorectal",18
2008,1,7,"Colorectal",17
2008,1,8,"Colorectal",24
2008,1,9,"Colorectal",27
2008,1,10,"Colorectal",32
2008,1,11,"Colorectal",76
2008,1,12,"Colorectal",94
2008,1,13,"Colorectal",119
2008,1,14,"Colorectal",193
2008,1,15,"Colorectal",185
2008,1,16,"Colorectal",142
2008,1,17,"Colorectal",120
2008,1,18,"Colorectal",56
2008,2,1,"Colorectal",2
2008,2,2,"Colorectal",6
2008,2,4,"Colorectal",11
2008,2,5,"Colorectal",3
2008,2,7,"Colorectal",19
2008,2,9,"Colorectal",11
2008,2,10,"Colorectal",13
2008,2,11,"Colorectal",51
2008,2,12,"Colorectal",100
2008,2,13,"Colorectal",102
2008,2,14,"Colorectal",112
2008,2,15,"Colorectal",118
2008,2,16,"Colorectal",127
2008,2,17,"Colorectal",94
2008,2,18,"Colorectal",93
2009,1,2,"Colorectal",15
2009,1,4,"Colorectal",17
2009,1,6,"Colorectal",22
2009,1,7,"Colorectal",12
2009,1,8,"Colorectal",21
2009,1,9,"Colorectal",36
2009,1,10,"Colorectal",26
2009,1,11,"Colorectal",51
2009,1,12,"Colorectal",90
2009,1,13,"Colorectal",119
2009,1,14,"Colorectal",179
2009,1,15,"Colorectal",176
2009,1,16,"Colorectal",144
2009,1,17,"Colorectal",109
2009,1,18,"Colorectal",104
2009,2,1,"Colorectal",9
2009,2,3,"Colorectal",8
2009,2,5,"Colorectal",20
2009,2,8,"Colorectal",29
2009,2,9,"Colorectal",6
2009,2,10,"Colorectal",18
2009,2,11,"Colorectal",63
2009,2,12,"Colorectal",41
2009,2,13,"Colorectal",71
2009,2,14,"Colorectal",80
2009,2,15,"Colorectal",126
2009,2,16,"Colorectal",105
2009,2,17,"Colorectal",111
2009,2,18,"Colorectal",125
2010,1,1,"Colorectal",2
2010,1,4,"Colorectal",15
2010,1,5,"Colorectal",6
2010,1,8,"Colorectal",9
2010,1,9,"Colorectal",22
2010,1,10,"Colorectal",21
2010,1,11,"Colorectal",52
2010,1,12,"Colorectal",114
2010,1,13,"Colorectal",156
2010,1,14,"Colorectal",163
2010,1,15,"Colorectal",185
2010,1,16,"Colorectal",129
2010,1,17,"Colorectal",117
2010,1,18,"Colorectal",57
2010,2,2,"Colorectal",3
2010,2,4,"Colorectal",23
2010,2,5,"Colorectal",14
2010,2,6,"Colorectal",26
2010,2,7,"Colorectal",5
2010,2,8,"Colorectal",6
2010,2,9,"Colorectal",36
2010,2,10,"Colorectal",44
2010,2,11,"Colorectal",61
2010,2,12,"Colorectal",71
2010,2,13,"Colorectal",83
2010,2,14,"Colorectal",93
2010,2,15,"Colorectal",110
2010,2,16,"Colorectal",102
2010,2,17,"Colorectal",112
2010,2,18,"Colorectal",114
2011,1,1,"Colorectal",8
2011,1,5,"Colorectal",17
2011,1,6,"Colorectal",5
2011,1,7,"Colorectal",29
2011,1,9,"Colorectal",32
2011,1,10,"Colorectal",30
2011,1,11,"Colorectal",76
2011,1,12,"Colorectal",80
2011,1,13,"Colorectal",150
2011,1,14,"Colorectal",147
2011,1,15,"Colorectal",181
2011,1,16,"Colorectal",161
2011,1,17,"Colorectal",118
2011,1,18,"Colorectal",111
2011,2,2,"Colorectal",13
2011,2,5,"Colorectal",16
2011,2,6,"Colorectal",3
2011,2,7,"Colorectal",9
2011,2,8,"Colorectal",9
2011,2,10,"Colorectal",28
2011,2,11,"Colorectal",48
2011,2,12,"Colorectal",53
2011,2,13,"Colorectal",68
2011,2,14,"Colorectal",116
2011,2,15,"Colorectal",130
2011,2,16,"Colorectal",109
2011,2,17,"Colorectal",140
2011,2,18,"Colorectal",120
2012,1,1,"Colorectal",20
2012,1,5,"Colorectal",8
2012,1,6,"Colorectal",16
2012,1,7,"Colorectal",14
2012,1,8,"Colorectal",1
2012,1,9,"Colorectal",11
2012,1,10,"Colorectal",39
2012,1,11,"Colorectal",64
2012,1,12,"Colorectal",104
2012,1,13,"Colorectal",134
2012,1,14,"Colorectal",180
2012,1,15,"Colorectal",176
2012,1,16,"Colorectal",152
2012,1,17,"Colorectal",110
2012,1,18,"Colorectal",109
2012,2,1,"Colorectal",2
2012,2,4,"Colorectal",13
2012,2,5,"Colorectal",23
2012,2,6,"Colorectal",27
2012,2,9,"Colorectal",6
2012,2,10,"Colorectal",11
2012,2,11,"Colorectal",45
2012,2,12,"Colorectal",71
2012,2,13,"Colorectal",99
2012,2,14,"Colorectal",124
2012,2,15,"Colorectal",115
2012,2,16,"Colorectal",120
2012,2,17,"Colorectal",92
2012,2,18,"Colorectal",128
2013,1,1,"Colorectal",10
2013,1,4,"Colorectal",12
2013,1,5,"Colorectal",16
2013,1,7,"Colorectal",13
2013,1,8,"Colorectal",26
2013,1,9,"Colorectal",52
2013,1,10,"Colorectal",17
2013,1,11,"Colorectal",83
2013,1,12,"Colorectal",77
2013,1,13,"Colorectal",125
2013,1,14,"Colorectal",149
2013,1,15,"Colorectal",161
2013,1,16,"Colorectal",138
2013,1,17,"Colorectal",120
2013,1,18,"Colorectal",94
2013,2,1,"Colorectal",8
2013,2,5,"Colorectal",10
2013,2,7,"Colorectal",1
2013,2,9,"Colorectal",7
2013,2,10,"Colorectal",37
2013,2,11,"Colorectal",63
2013,2,12,"Colorectal",75
2013,2,13,"Colorectal",78
2013,2,14,"Colorectal",100
2013,2,15,"Colorectal",114
2013,2,16,"Colorectal",115
2013,2,17,"Colorectal",132
2013,2,18,"Colorectal",128
2014,1,1,"Colorectal",16
2014,1,2,"Colorectal",18
2014,1,3,"Colorectal",15
2014,1,5,"Colorectal",20
2014,1,6,"Colorectal",2
2014,1,7,"Colorectal",19
2014,1,8,"Colorectal",1
2014,1,9,"Colorectal",5
2014,1,10,"Colorectal",19
2014,1,11,"Colorectal",96
2014,1,12,"Colorectal",83
2014,1,13,"Colorectal",160
2014,1,14,"Colorectal",159
2014,1,15,"Colorectal",188
2014,1,16,"Colorectal",141
2014,1,17,"Colorectal",104
2014,1,18,"Colorectal",118
2014,2,2,"Colorectal",3
2014,2,8,"Colorectal",1
2014,2,9,"Colorectal",24
2014,2,10,"Colorectal",14
2014,2,11,"Colorectal",74
2014,2,12,"Colorectal",60
2014,2,13,"Colorectal",120
2014,2,14,"Colorectal",114
2014,2,15,"Colorectal",117
2014,2,16,"Colorectal",156
2014,2,17,"Colorectal",136
2014,2,18,"Colorectal",123
2015,1,4,"Colorectal",5
2015,1,5,"Colorectal",8
2015,1,6,"Colorectal",12
2015,1,7,"Colorectal",7
2015,1,8,"Colorectal",7
2015,1,9,"Colorectal",23
2015,1,10,"Colorectal",50
2015,1,11,"Colorectal",60
2015,1,12,"Colorectal",89
2015,1,13,"Colorectal",118
2015,1,14,"Colorectal",191
2015,1,15,"Colorectal",192
2015,1,16,"Colorectal",158
2015,1,17,"Colorectal",123
2015,1,18,"Colorectal",88
2015,2,2,"Colorectal",12
2015,2,4,"Colorectal",16
2015,2,5,"Colorectal",3
2015,2,6,"Colorectal",7
2015,2,9,"Colorectal",49
2015,2,10,"Colorectal",35
2015,2,11,"Colorectal",46
2015,2,12,"Colorectal",99
2015,2,13,"Colorectal",104
2015,2,14,"Colorectal",94
2015,2,15,"Colorectal",128
2015,2,16,"Colorectal",144
2015,2,17,"Colorectal",137
2015,2,18,"Colorectal",163
2016,1,2,"Colorectal",16
2016,1,4,"Colorectal",9
2016,1,6,"Colorectal",4
2016,1,7,"Colorectal",21
2016,1,8,"Colorectal",1
2016,1,9,"Colorectal",16
2016,1,10,"Colorectal",58
2016,1,11,"Colorectal",67
2016,1,12,"Colorectal",95
2016,1,13,"Colorectal",125
2016,1,14,"Colorectal",178
2016,1,15,"Colorectal",190
2016,1,16,"Colorectal",171
2016,1,17,"Colorectal",137
2016,1,18,"Colorectal",91
2016,2,2,"Colorectal",13
2016,2,4,"Colorectal",8
2016,2,5,"Colorectal",8
2016,2,6,"Colorectal",1
2016,2,7,"Colorectal",28
2016,2,8,"Colorectal",26
2016,2,9,"Colorectal",21
2016,2,10,"Colorectal",22
2016,2,11,"Colorectal",56
2016,2,12,"Colorectal",58
2016,2,13,"Colorectal",74
2016,2,14,"Colorectal",96
2016,2,15,"Colorectal",125
2016,2,16,"Colorectal",125
2016,2,17,"Colorectal",113
2016,2,18,"Colorectal",152
2017,1,1,"Colorectal",18
2017,1,2,"Colorectal",18
2017,1,4,"Colorectal",18
2017,1,5,"Colorectal",3
2017,1,6,"Colorectal",20
2017,1,7,"Colorectal",17
2017,1,8,"Colorectal",2
2017,1,9,"Colorectal",42
2017,1,10,"Colorectal",60
2017,1,11,"Colorectal",65
2017,1,12,"Colorectal",79
2017,1,13,"Colorectal",130
2017,1,14,"Colorectal",162
2017,1,15,"Colorectal",196
2017,1,16,"Colorectal",158
2017,1,17,"Colorectal",131
2017,1,18,"Colorectal",118
2017,2,3,"Colorectal",13
2017,2,4,"Colorectal",11
2017,2,6,"Colorectal",8
2017,2,7,"Colorectal",22
2017,2,8,"Colorectal",6
2017,2,9,"Colorectal",25
2017,2,10,"Colorectal",27
2017,2,11,"Colorectal",72
2017,2,12,"Colorectal",89
2017,2,13,"Colorectal",82
2017,2,14,"Colorectal",88
2017,2,15,"Colorectal",133
2017,2,16,"Colorectal",118
2017,2,17,"Colorectal",129
2017,2,18,"Colorectal",174
2018,1,1,"Colorectal",7
2018,1,4,"Colorectal",6
2018,1,5,"Colorectal",9
2018,1,7,"Colorectal",33
2018,1,8,"Colorectal",26
2018,1,9,"Colorectal",11
2018,1,10,"Colorectal",58
2018,1,11,"Colorectal",81
2018,1,12,"Colorectal",94
2018,1,13,"Colorectal",129
2018,1,14,"Colorectal",168
2018,1,15,"Colorectal",225
