"Year","Sex","AgeGroup","Population"
2005,"Male",1,79544
2005,"Male",2,82246
2005,"Male",3,86993
2005,"Male",4,83137
2005,"Male",5,84998
2005,"Male",6,78366
2005,"Male",7,86090
2005,"Male",8,83895
2005,"Male",9,87754
2005,"Male",10,83211
2005,"Male",11,77211
2005,"Male",12,73192
2005,"Male",13,56168
2005,"Male",14,43410
2005,"Male",15,33095
2005,"Male",16,26370
2005,"Male",17,16598
2005,"Male",18,10719
2005,"Female",1,75251
2005,"Female",2,77755
2005,"Female",3,82587
2005,"Female",4,79779
2005,"Female",5,82667
2005,"Female",6,77118
2005,"Female",7,87796
2005,"Female",8,85344
2005,"Female",9,90321
2005,"Female",10,84672
2005,"Female",11,76961
2005,"Female",12,71651
2005,"Female",13,54318
2005,"Female",14,42489
2005,"Female",15,34299
2005,"Female",16,30414
2005,"Female",17,23911
2005,"Female",18,21143
2006,"Male",1,81058
2006,"Male",2,83380
2006,"Male",3,87367
2006,"Male",4,84982
2006,"Male",5,87652
2006,"Male",6,80689
2006,"Male",7,86191
2006,"Male",8,87799
2006,"Male",9,87626
2006,"Male",10,85116
2006,"Male",11,78772
2006,"Male",12,75275
2006,"Male",13,59119
2006,"Male",14,45179
2006,"Male",15,33774
2006,"Male",16,27111
2006,"Male",17,17617
2006,"Male",18,11383
2006,"Female",1,76746
2006,"Female",2,78976
2006,"Female",3,82927
2006,"Female",4,81021
2006,"Female",5,85002
2006,"Female",6,79608
2006,"Female",7,86570
2006,"Female",8,89257
2006,"Female",9,90373
2006,"Female",10,86953
2006,"Female",11,78997
2006,"Female",12,74212
2006,"Female",13,57908
2006,"Female",14,44138
2006,"Female",15,34426
2006,"Female",16,31088
2006,"Female",17,24042
2006,"Female",18,22411
2007,"Male",1,84613
2007,"Male",2,84583
2007,"Male",3,88154
2007,"Male",4,87133
2007,"Male",5,89535
2007,"Male",6,84672
2007,"Male",7,85773
2007,"Male",8,91410
2007,"Male",9,87650
2007,"Male",10,87981
2007,"Male",11,80392
2007,"Male",12,75083
2007,"Male",13,63951
2007,"Male",14,47041
2007,"Male",15,34646
2007,"Male",16,27564
2007,"Male",17,18205
2007,"Male",18,12260
2007,"Female",1,79642
2007,"Female",2,79886
2007,"Female",3,83531
2007,"Female",4,83870
2007,"Female",5,87127
2007,"Female",6,82623
2007,"Female",7,86265
2007,"Female",8,92954
2007,"Female",9,89775
2007,"Female",10,90324
2007,"Female",11,80723
2007,"Female",12,74105
2007,"Female",13,62346
2007,"Female",14,45999
2007,"Female",15,35801
2007,"Female",16,30989
2007,"Female",17,24334
2007,"Female",18,23722
2008,"Male",1,88801
2008,"Male",2,85581
2008,"Male",3,88981
2008,"Male",4,90034
2008,"Male",5,91929
2008,"Male",6,89934
2008,"Male",7,85662
2008,"Male",8,94648
2008,"Male",9,88726
2008,"Male",10,90471
2008,"Male",11,81851
2008,"Male",12,75897
2008,"Male",13,68317
2008,"Male",14,49223
2008,"Male",15,36426
2008,"Male",16,27627
2008,"Male",17,18764
2008,"Male",18,12954
2008,"Female",1,83991
2008,"Female",2,80836
2008,"Female",3,84672
2008,"Female",4,86057
2008,"Female",5,89365
2008,"Female",6,87285
2008,"Female",7,86401
2008,"Female",8,96241
2008,"Female",9,90305
2008,"Female",10,92412
2008,"Female",11,82895
2008,"Female",12,75447
2008,"Female",13,66393
2008,"Female",14,48097
2008,"Female",15,36559
2008,"Female",16,31077
2008,"Female",17,25388
2008,"Female",18,24118
2009,"Male",1,92757
2009,"Male",2,86916
2009,"Male",3,89501
2009,"Male",4,92281
2009,"Male",5,95621
2009,"Male",6,95306
2009,"Male",7,86798
2009,"Male",8,96392
2009,"Male",9,89681
2009,"Male",10,92209
2009,"Male",11,83723
2009,"Male",12,76504
2009,"Male",13,70464
2009,"Male",14,51869
2009,"Male",15,38157
2009,"Male",16,27445
2009,"Male",17,18935
2009,"Male",18,13159
2009,"Female",1,86787
2009,"Female",2,82283
2009,"Female",3,85156
2009,"Female",4,87852
2009,"Female",5,92480
2009,"Female",6,91776
2009,"Female",7,87933
2009,"Female",8,97689
2009,"Female",9,91116
2009,"Female",10,94322
2009,"Female",11,85280
2009,"Female",12,76812
2009,"Female",13,68464
2009,"Female",14,51092
2009,"Female",15,38753
2009,"Female",16,31474
2009,"Female",17,25929
2009,"Female",18,25377
2010,"Male",1,94160
2010,"Male",2,88467
2010,"Male",3,89466
2010,"Male",4,92353
2010,"Male",5,97186
2010,"Male",6,98225
2010,"Male",7,87482
2010,"Male",8,96083
2010,"Male",9,91554
2010,"Male",10,91922
2010,"Male",11,85856
2010,"Male",12,77724
2010,"Male",13,72597
2010,"Male",14,54553
2010,"Male",15,40166
2010,"Male",16,28099
2010,"Male",17,20060
2010,"Male",18,13870
2010,"Female",1,88499
2010,"Female",2,83795
2010,"Female",3,85489
2010,"Female",4,88412
2010,"Female",5,94261
2010,"Female",6,94824
2010,"Female",7,88986
2010,"Female",8,97124
2010,"Female",9,93527
2010,"Female",10,94672
2010,"Female",11,87022
2010,"Female",12,77840
2010,"Female",13,71165
2010,"Female",14,53764
2010,"Female",15,39748
2010,"Female",16,31798
2010,"Female",17,25760
2010,"Female",18,26254
2011,"Male",1,93934
2011,"Male",2,90476
2011,"Male",3,90066
2011,"Male",4,92956
2011,"Male",5,97816
2011,"Male",6,99047
2011,"Male",7,90125
2011,"Male",8,94239
2011,"Male",9,95100
2011,"Male",10,91954
2011,"Male",11,87926
2011,"Male",12,79164
2011,"Male",13,74331
2011,"Male",14,57549
2011,"Male",15,41742
2011,"Male",16,28905
2011,"Male",17,20489
2011,"Male",18,14518
2011,"Female",1,88948
2011,"Female",2,85434
2011,"Female",3,86236
2011,"Female",4,88834
2011,"Female",5,95341
2011,"Female",6,96910
2011,"Female",7,90681
2011,"Female",8,95773
2011,"Female",9,97055
2011,"Female",10,93676
2011,"Female",11,89519
2011,"Female",12,79252
2011,"Female",13,73109
2011,"Female",14,56851
2011,"Female",15,41850
2011,"Female",16,31760
2011,"Female",17,26743
2011,"Female",18,27273
2012,"Male",1,95877
2012,"Male",2,93067
2012,"Male",3,90685
2012,"Male",4,93983
2012,"Male",5,99173
2012,"Male",6,101451
2012,"Male",7,93303
2012,"Male",8,93406
2012,"Male",9,97988
2012,"Male",10,91271
2012,"Male",11,90316
2012,"Male",12,80430
2012,"Male",13,74038
2012,"Male",14,62104
2012,"Male",15,43879
2012,"Male",16,29953
2012,"Male",17,20493
2012,"Male",18,15793
2012,"Female",1,91485
2012,"Female",2,87620
2012,"Female",3,86247
2012,"Female",4,89534
2012,"Female",5,97674
2012,"Female",6,99754
2012,"Female",7,93073
2012,"Female",8,94547
2012,"Female",9,100536
2012,"Female",10,93687
2012,"Female",11,92620
2012,"Female",12,81511
2012,"Female",13,73396
2012,"Female",14,61364
2012,"Female",15,44147
2012,"Female",16,33092
2012,"Female",17,26546
2012,"Female",18,28316
2013,"Male",1,97318
2013,"Male",2,95756
2013,"Male",3,91557
2013,"Male",4,94279
2013,"Male",5,100888
2013,"Male",6,102329
2013,"Male",7,96689
2013,"Male",8,92531
2013,"Male",9,100085
2013,"Male",10,91475
2013,"Male",11,91810
2013,"Male",12,81131
2013,"Male",13,74540
2013,"Male",14,65492
2013,"Male",15,45351
2013,"Male",16,31444
2013,"Male",17,20839
2013,"Male",18,16450
2013,"Female",1,92621
2013,"Female",2,90419
2013,"Female",3,86613
2013,"Female",4,90251
2013,"Female",5,98804
